"Id";"Référence";"Boîtier";"Quantité";"Désignation";"Fournisseur et réf";
1;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"220";;;
2;"TP18";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"Ref-";;;
3;"H1,H3,H4,H2";"MountingHole_3.2mm_M3";4;"MountingHole";;;
4;"TP7,TP8,TP12,TP6,TP5,TP1";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";6;"GND";;;
5;"TP22,TP24,TP23,TP25,TP21,TP26";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";6;"GNDA";;;
6;"TP33";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"pot4";;;
7;"TP17";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"LED";;;
8;"TP16";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"D5";;;
9;"C6";"CP_Radial_D5.0mm_P2.00mm";1;"1u";;;
10;"J3";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"pressure2";;;
11;"J4";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"pressure1";;;
12;"J1";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"batt";;;
13;"TP9,TP10,TP3,TP11,TP2,TP4";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";6;"ADC_ref";;;
14;"TP43";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"out_PWM";;;
15;"J5";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"pressure4";;;
16;"U1";"RPi_Pico_SMD_TH";1;"Pico";;;
17;"RV2";"Potentiometer_Runtron_RM-065_Vertical";1;"20k_adj2";;;
18;"RV3";"Potentiometer_Runtron_RM-065_Vertical";1;"20k_adj1";;;
19;"TP13";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"D2";;;
20;"C9,C11";"CP_Radial_D5.0mm_P2.50mm";2;"1u dac1";;;
21;"TP32";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"pot5";;;
22;"RV4";"Potentiometer_Runtron_RM-065_Vertical";1;"20k_adj4";;;
23;"C2,C4";"CP_Radial_D8.0mm_P5.00mm";2;"100u";;;
24;"C5,C3";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";2;"100n";;;
25;"RV1";"Potentiometer_Runtron_RM-065_Vertical";1;"20k_adj3";;;
26;"R1,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"10";;;
27;"TP14";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"Ref+";;;
28;"C10,C12";"CP_Radial_D5.0mm_P2.50mm";2;"1u dac2";;;
29;"TP19";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"Oct+";;;
30;"TP42";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"3.3V";;;
31;"TP35";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"pot2";;;
32;"TP20";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"Oct-";;;
33;"TP28";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"AI27";;;
34;"TP27";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"AI28";;;
35;"J2";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"pressure3";;;
36;"TP44";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"out_dac1";;;
37;"TP36";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"pot1";;;
38;"C1";"C_Axial_L3.8mm_D2.6mm_P7.50mm_Horizontal";1;"0.1u";;;
39;"TP15";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"D4";;;
40;"TP34";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"pot3";;;
41;"U2";"DIP-16_W7.62mm";1;"MCP3008";;;
42;"C7,C8";"CP_Radial_D5.0mm_P2.50mm";2;"1u pwm";;;
43;"TP45";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"out_dac2";;;
44;"U3";"SOP-8_3.9x4.9mm_P1.27mm";1;"PT8211-pt8211";;;
